Title,Category,Rating,Link
DOMODOMO,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/domodomo-new-york
Takahachi,Japanese,4.0 star rating,https://www.yelp.com/biz/takahachi-new-york
Sushi Yasaka,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/sushi-yasaka-new-york
Ki Sushi,Japanese,4.0 star rating,https://www.yelp.com/biz/ki-sushi-brooklyn
Sushumai Asian Fusion,Dim Sum,5.0 star rating,https://www.yelp.com/biz/sushumai-asian-fusion-new-york-2
Sushi Nakazawa,Seafood,4.5 star rating,https://www.yelp.com/biz/sushi-nakazawa-new-york
Sushi Gallery,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/sushi-gallery-brooklyn
KazuNori | The Original Hand Roll Bar,Japanese,4.5 star rating,https://www.yelp.com/biz/kazunori-the-original-hand-roll-bar-new-york-2
Suteishi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/suteishi-new-york
Bozu,Asian Fusion,4.0 star rating,https://www.yelp.com/biz/bozu-brooklyn
Umi Sushi,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/umi-sushi-fresh-meadows
Sushi by Bou,Japanese,5.0 star rating,https://www.yelp.com/biz/sushi-by-bou-new-york-3
Bozu,Asian Fusion,4.0 star rating,https://www.yelp.com/biz/bozu-brooklyn
Izakaya MEW,Cocktail Bars,4.0 star rating,https://www.yelp.com/biz/izakaya-mew-new-york-3
Kotobuki Manhattan,Seafood,4.0 star rating,https://www.yelp.com/biz/kotobuki-manhattan-new-york
Watawa Sushi,Wine Bars,4.0 star rating,https://www.yelp.com/biz/watawa-sushi-astoria
Zest,Thai,4.0 star rating,https://www.yelp.com/biz/zest-new-york-3
Sushi Yashin,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/sushi-yashin-brooklyn
Asuka Sushi,Thai,4.0 star rating,https://www.yelp.com/biz/asuka-sushi-new-york
Suteishi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/suteishi-new-york
Izakaya MEW,Cocktail Bars,4.0 star rating,https://www.yelp.com/biz/izakaya-mew-new-york-3
Akaru,Japanese,4.0 star rating,https://www.yelp.com/biz/akaru-brooklyn
Kyoto,Japanese,4.0 star rating,https://www.yelp.com/biz/kyoto-brooklyn
Iron Chef House,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/iron-chef-house-brooklyn
Hibino,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/hibino-brooklyn
U-gu,Japanese,4.5 star rating,https://www.yelp.com/biz/u-gu-brooklyn-2
Murasaki,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/murasaki-long-island-city
Blue Ribbon Sushi,Japanese,4.0 star rating,https://www.yelp.com/biz/blue-ribbon-sushi-new-york
Sushi Katsuei,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/sushi-katsuei-brooklyn
Umi Sushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/umi-sushi-new-york-2
Oita Sushi,Caterers,4.5 star rating,https://www.yelp.com/biz/oita-sushi-new-york
Takesushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/takesushi-sunnyside
Gaijin,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/gaijin-astoria-3
Kanoyama,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/kanoyama-new-york
